epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.4281330332438151,0.4747777777777778,1.0543575961112976,0.6218,0.0009990133642141358
2,1.0217124553256565,0.6352666666666666,0.8330321508407593,0.6978,0.000996057350657239
3,0.870046726989746,0.6946666666666667,0.7455337868213654,0.7326,0.0009911436253643444
4,0.780749113506741,0.7260888888888889,0.7498473894596099,0.7324,0.0009842915805643156
5,0.7201354582044813,0.7507111111111111,0.6290017004013062,0.7786,0.0009755282581475769
6,0.6641827338324653,0.7683555555555556,0.6387469874143601,0.7752,0.0009648882429441258
7,0.6288224290000067,0.7814222222222222,0.5320582837581634,0.8128,0.0009524135262330099
8,0.5947001822683546,0.7932888888888889,0.5424375603199005,0.8122,0.0009381533400219318
9,0.5609183128674825,0.8057333333333333,0.4978508960843086,0.8322,0.0009221639627510075
10,0.5414288881725735,0.8131333333333334,0.5191385065555573,0.8228,0.0009045084971874736
11,0.5202227272033692,0.8215333333333333,0.49517801853418353,0.8266,0.0008852566213878945
12,0.4977612152735392,0.8284888888888889,0.4683713804244995,0.8396,0.0008644843137107056
13,0.4758074407524533,0.8359333333333333,0.4803750397205353,0.8384,0.0008422735529643443
14,0.4568112929450141,0.8427111111111111,0.477148193693161,0.8284,0.0008187119948743448
15,0.4488969556676017,0.8451333333333333,0.44779237877130507,0.8418,0.0007938926261462366
16,0.4320893851704068,0.8531333333333333,0.4104165657520294,0.8578,0.0007679133974894982
17,0.41380932375590007,0.8569777777777777,0.457750804233551,0.8426,0.0007408768370508576
18,0.4059447260644701,0.8617555555555556,0.3953920470714569,0.8662,0.0007128896457825362
19,0.3884271296395196,0.8669777777777777,0.40042996771335604,0.8604,0.0006840622763423389
20,0.3760185202386644,0.8706444444444444,0.4026604295372963,0.8628,0.0006545084971874735
21,0.36597474150127834,0.8746666666666667,0.39217425956726076,0.8662,0.0006243449435824271
22,0.3522447928216722,0.8789555555555556,0.4301802243053913,0.8508,0.0005936906572928622
23,0.34365641927719115,0.8814666666666666,0.38831462308168413,0.8666,0.000562666616782152
24,0.33316188675959907,0.8847111111111111,0.4151147996068001,0.8632,0.0005313952597646566
25,0.32442475911246405,0.8875777777777778,0.3984653254806995,0.8614,0.0004999999999999998
26,0.3102221953981453,0.8936666666666667,0.38834357763528826,0.8674,0.00046860474023534314
27,0.30062330203056337,0.8970444444444444,0.37282789777517317,0.8738,0.00043733338321784774
28,0.2905358687321345,0.9011111111111111,0.3688204626858234,0.8778,0.00040630934270713756
29,0.2843090588145786,0.9023111111111111,0.35806576937437057,0.8796,0.00037565505641757246
30,0.2780699049446318,0.9041777777777777,0.3510194497108459,0.8806,0.00034549150281252633
31,0.268399929968516,0.9062888888888889,0.34814908059835437,0.8802,0.00031593772365766105
32,0.254823210117552,0.9119777777777778,0.3386476917684078,0.888,0.00028711035421746355
33,0.2513139757262336,0.9126444444444445,0.34772130252718925,0.886,0.0002591231629491422
34,0.24334243415196738,0.9169777777777778,0.34130065497756007,0.8878,0.00023208660251050145
35,0.23820110445552403,0.919,0.34931394197046756,0.8838,0.00020610737385376337
36,0.23285102565288543,0.9199555555555555,0.35343873070180415,0.8846,0.00018128800512565502
37,0.22444271696077453,0.9213333333333333,0.33566850109100344,0.888,0.00015772644703565555
38,0.21907995840178596,0.9235111111111111,0.3403049271345139,0.8868,0.00013551568628929425
39,0.21606894466347165,0.9256222222222222,0.3388776365280151,0.8904,0.00011474337861210535
40,0.20993601669205558,0.9275333333333333,0.331447973626852,0.8958,9.549150281252626e-05
41,0.2083083604355653,0.9272,0.3330215688884258,0.893,7.783603724899252e-05
42,0.20245534192489253,0.9288,0.3333517525970936,0.8946,6.184665997806817e-05
43,0.19754755786789788,0.9305555555555556,0.3317674509227276,0.8916,4.7586473766990294e-05
44,0.19732184161080255,0.9312888888888889,0.32968272933959963,0.8962,3.5111757055874305e-05
45,0.19063452708456252,0.9344,0.3348898843228817,0.8942,2.4471741852423218e-05
46,0.1905332686021924,0.9340666666666667,0.3312247457683086,0.895,1.5708419435684507e-05
47,0.18419227431615193,0.9358666666666666,0.3301706112921238,0.899,8.856374635655634e-06
48,0.18696786681811015,0.9359333333333333,0.3308623032689095,0.8982,3.942649342761115e-06
49,0.1854746732128991,0.9341111111111111,0.32971247353553773,0.8946,9.866357858642198e-07
50,0.18979512213071187,0.9350888888888889,0.33047527343332767,0.8966,0.0
