epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.552982312965393,0.4232888888888889,1.2566847372055054,0.5488,0.0004986304738420684
2,1.161417192310757,0.5857333333333333,0.9698210699081421,0.649,0.0004945369001834514
3,1.015342709435357,0.6402888888888889,0.8864362446308136,0.6794,0.0004877641290737884
4,0.9162526004685296,0.6756,0.7904443411827088,0.7132,0.00047838636441065017
5,0.8611876634385851,0.7015555555555556,0.9445887280464172,0.6876,0.00046650635094610973
6,0.8043931075731914,0.7196444444444444,0.7092441160678864,0.7546,0.00045225424859373693
7,0.7614880947113037,0.7356222222222222,0.7307009776830673,0.7484,0.0004357862063693486
8,0.7277770545111762,0.7484888888888889,0.6088500255823135,0.786,0.0004172826515897146
9,0.6947534904903836,0.7617111111111111,0.6867613758087158,0.7632,0.0003969463130731183
10,0.667907495159573,0.7698,0.6005845719337464,0.787,0.000375
11,0.6533018076366849,0.776,0.6033544616222382,0.7878,0.00035168416076895013
12,0.6246536264631484,0.7857777777777778,0.5454837834239006,0.8074,0.0003272542485937369
13,0.6033375331454807,0.7926666666666666,0.5485098964691162,0.8028,0.00030197792270443986
14,0.5781971543206109,0.8027333333333333,0.5370384079694748,0.8148,0.00027613211581691346
15,0.5592762060907152,0.8068222222222222,0.5423179965496063,0.8158,0.0002500000000000001
16,0.5452943863232931,0.8139777777777778,0.5212778555750847,0.8226,0.0002238678841830867
17,0.5225954292244381,0.8212888888888888,0.4895741308689117,0.83,0.00019802207729556018
18,0.5150940993520948,0.8231555555555555,0.4730383945941925,0.8376,0.0001727457514062632
19,0.4999860686037276,0.8279555555555556,0.4598330780506134,0.841,0.00014831583923105
20,0.485710077879164,0.8353555555555555,0.4462501041173935,0.8474,0.00012500000000000008
21,0.475463893143336,0.8373777777777778,0.44171812381744385,0.8512,0.00010305368692688177
22,0.460307495964898,0.8422888888888889,0.4506035714387894,0.8436,8.271734841028554e-05
23,0.45191095960405137,0.8458,0.43647080035209657,0.8532,6.421379363065149e-05
24,0.44191264334784613,0.8493111111111111,0.43610905191898347,0.851,4.7745751406263184e-05
25,0.43928516398535833,0.8504888888888888,0.4283453885793686,0.8526,3.349364905389034e-05
26,0.4283454471217261,0.8543777777777778,0.42517130597829816,0.856,2.1613635589349765e-05
27,0.4233681274731954,0.8551333333333333,0.4172464844107628,0.8564,1.223587092621162e-05
28,0.42055674702856277,0.8572888888888889,0.4148717217206955,0.8604,5.46309981654858e-06
29,0.41783917355537414,0.8568666666666667,0.4161038241505623,0.8574,1.3695261579316502e-06
30,0.4187564623037974,0.8572888888888889,0.416096136367321,0.857,0.0
